,similarity_treshold,social_influence,swingers,no_of_neighbors,echo_limit,opinions,Run,Silent_Spiral,community_no,echo_chamber,echo_count,echo_size,majority_percentage,radical_opinions,transitivity,network_type
0,0.0297753906,0.0187011719,3.07421875,4.70703125,0.8420410156,4.7216796875,0,0.0,15,463,0.08438126480000001,"{'3': 454, '4': 9}",0.998,0.001,0.033108502500000005,2
1,0.014130859400000001,0.0187011719,3.07421875,4.70703125,0.8420410156,4.7216796875,1,0.0,13,576,0.1035971223,"{'3': 532, '4': 42, '5': 2}",1.0,0.0,0.0315917121,2
10,0.0747753906,0.0459472656,1.07421875,2.70703125,0.9170410156000001,3.2216796875,10,0.22,17,18,0.005897772000000001,{'3': 18},0.461,0.001,0.015448688600000001,2
100,0.0972753906,0.0412011719,4.07421875,5.27734375,0.8795410156000001,2.4716796875,100,0.46,5,331,0.0466306511,"{'3': 315, '4': 13}",0.5630000000000001,0.003,0.0202292404,2
1000,0.0297753906,0.0187011719,3.07421875,4.70703125,0.8420410156,4.7216796875,1000,0.0,18,338,0.061176470600000005,"{'3': 332, '4': 6}",0.98,0.0,0.0287532938,2
1001,0.014130859400000001,0.0187011719,3.07421875,4.70703125,0.8420410156,4.7216796875,1001,0.9400000000000001,15,397,0.0714542837,"{'3': 379, '4': 18}",0.995,0.0,0.0287460161,2
1002,0.0297753906,0.09094726560000001,3.07421875,4.70703125,0.8420410156,4.7216796875,1002,0.4,8,96,0.0172947388,{'3': 95},0.515,0.003,0.0180986414,2
1003,0.0297753906,0.0187011719,3.00390625,4.70703125,0.8420410156,4.7216796875,1003,1.0,13,575,0.10341726620000001,"{'3': 537, '4': 36, '5': 2}",1.0,0.0,0.0369580759,2
1004,0.0297753906,0.0187011719,3.07421875,2.27734375,0.8420410156,4.7216796875,1004,0.42,21,25,0.0081859856,{'3': 25},0.677,0.0,0.0184315427,2
1005,0.0297753906,0.0187011719,3.07421875,4.70703125,0.8127441406,4.7216796875,1005,0.04,16,404,0.07354815220000001,"{'3': 391, '4': 13}",0.994,0.0,0.0274077662,2
1006,0.0297753906,0.0187011719,3.07421875,4.70703125,0.8420410156,2.7646484375,1006,0.4,15,235,0.043040293,"{'3': 232, '4': 3}",0.9430000000000001,0.002,0.0241892825,2
1007,0.014130859400000001,0.09094726560000001,3.00390625,2.27734375,0.8127441406,2.7646484375,1007,0.4,20,34,0.0111438873,{'3': 34},0.643,0.015,0.0161703127,2
1008,0.0747753906,0.0637011719,1.07421875,2.70703125,0.9170410156000001,3.2216796875,1008,0.36,21,24,0.0078252364,{'3': 24},0.405,0.0,0.0172295519,2
1009,0.0591308594,0.0637011719,1.07421875,2.70703125,0.9170410156000001,3.2216796875,1009,0.36,18,31,0.0101772817,{'3': 31},0.583,0.008,0.0159667376,2
101,0.0972753906,0.0412011719,4.07421875,5.70703125,0.9252441406,2.4716796875,101,0.6000000000000001,5,342,0.047872340400000005,"{'3': 329, '4': 13}",0.5630000000000001,0.0,0.0219017523,2
1010,0.0747753906,0.0459472656,1.07421875,2.70703125,0.9170410156000001,3.2216796875,1010,0.18,19,22,0.0072297075,{'3': 22},0.45,0.0,0.0149645768,2
1011,0.0747753906,0.0637011719,1.00390625,2.70703125,0.9170410156000001,3.2216796875,1011,0.36,19,22,0.0071918928,{'3': 22},0.441,0.001,0.016692270500000002,2
1012,0.0747753906,0.0637011719,1.07421875,4.27734375,0.9170410156000001,3.2216796875,1012,0.38,8,137,0.024644720300000002,{'3': 137},0.548,0.0,0.0173243119,2
1013,0.0747753906,0.0637011719,1.07421875,2.70703125,0.8877441406000001,3.2216796875,1013,0.42,20,28,0.0091863517,{'3': 28},0.49,0.002,0.0171181717,2
1014,0.0747753906,0.0637011719,1.07421875,2.70703125,0.9170410156000001,4.2646484375,1014,0.34,20,32,0.0104883645,{'3': 32},0.442,0.0,0.014271462300000001,2
1015,0.0591308594,0.0459472656,1.00390625,4.27734375,0.8877441406000001,4.2646484375,1015,0.22,9,169,0.0304734264,"{'3': 165, '4': 3}",0.517,0.025,0.0188658648,2
1016,0.0972753906,0.0412011719,4.07421875,5.70703125,0.8795410156000001,2.4716796875,1016,0.8200000000000001,8,368,0.0521172638,"{'3': 359, '4': 9}",0.7020000000000001,0.0,0.0244712968,2
1017,0.0366308594,0.0412011719,4.07421875,5.70703125,0.8795410156000001,2.4716796875,1017,0.48,5,353,0.0500141683,"{'3': 345, '4': 8}",0.595,0.0,0.0228865867,2
1018,0.0972753906,0.0234472656,4.07421875,5.70703125,0.8795410156000001,2.4716796875,1018,0.5,4,281,0.0400744239,"{'3': 274, '4': 6}",0.533,0.0,0.0181806734,2
1019,0.0972753906,0.0412011719,2.00390625,5.70703125,0.8795410156000001,2.4716796875,1019,0.74,7,389,0.0555957724,"{'3': 374, '4': 10}",0.639,0.0,0.0224040461,2
102,0.0972753906,0.0412011719,4.07421875,5.70703125,0.8795410156000001,3.5146484375,102,0.34,5,262,0.0361295681,"{'3': 246, '4': 15}",0.493,0.0,0.0165275184,2
1020,0.0972753906,0.0412011719,4.07421875,5.27734375,0.8795410156000001,2.4716796875,1020,0.1,7,444,0.0635738832,"{'3': 401, '4': 39, '5': 4}",0.67,0.0,0.0214085769,2
1021,0.0972753906,0.0412011719,4.07421875,5.70703125,0.9252441406,2.4716796875,1021,0.6000000000000001,5,334,0.0472619216,"{'3': 313, '4': 20, '5': 1}",0.5710000000000001,0.001,0.0195893796,2
1022,0.0972753906,0.0412011719,4.07421875,5.70703125,0.8795410156000001,3.5146484375,1022,0.32,4,213,0.030195633700000002,"{'3': 210, '4': 3}",0.446,0.0,0.017208479000000002,2
1023,0.0366308594,0.0234472656,2.00390625,5.27734375,0.9252441406,3.5146484375,1023,0.14,15,361,0.052326424100000005,"{'3': 357, '4': 4}",0.976,0.0,0.0248717621,2
1024,0.0522753906,0.0862011719,2.07421875,3.70703125,0.8045410156,3.9716796875,1024,0.22,7,78,0.01862909,{'3': 78},0.44,0.0,0.0190727534,2
1025,0.0816308594,0.0862011719,2.07421875,3.70703125,0.8045410156,3.9716796875,1025,0.36,7,57,0.013245033100000001,{'3': 56},0.391,0.0,0.0170834579,2
1026,0.0522753906,0.0684472656,2.07421875,3.70703125,0.8045410156,3.9716796875,1026,0.30000000000000004,12,98,0.0231295728,"{'3': 97, '4': 1}",0.73,0.022,0.0175594963,2
1027,0.0522753906,0.0862011719,4.00390625,3.70703125,0.8045410156,3.9716796875,1027,0.56,13,111,0.0264285714,"{'3': 110, '4': 1}",0.731,0.007,0.0205807719,2
1028,0.0522753906,0.0862011719,2.07421875,3.27734375,0.8045410156,3.9716796875,1028,0.36,11,59,0.013964497000000001,{'3': 59},0.457,0.017,0.0168355977,2
1029,0.0522753906,0.0862011719,2.07421875,3.70703125,0.8502441406,3.9716796875,1029,0.38,10,65,0.015509425,{'3': 65},0.503,0.001,0.0147588764,2
103,0.0366308594,0.0234472656,2.00390625,5.27734375,0.9252441406,3.5146484375,103,0.32,9,289,0.0410724472,"{'3': 273, '4': 14, '5': 1}",0.725,0.0,0.0221037601,2
1030,0.0522753906,0.0862011719,2.07421875,3.70703125,0.8045410156,2.0146484375,1030,0.74,10,134,0.0317309969,"{'3': 133, '4': 1}",0.682,0.009000000000000001,0.025742968800000002,2
1031,0.0816308594,0.0684472656,4.00390625,3.27734375,0.8502441406,2.0146484375,1031,0.58,11,107,0.0251527974,{'3': 107},0.648,0.014,0.0209069234,2
1032,0.0410253906,0.0524511719,1.57421875,3.20703125,0.8232910156000001,4.3466796875,1032,0.32,10,88,0.0207498232,{'3': 88},0.591,0.0,0.0171771883,2
1033,0.0478808594,0.0524511719,1.57421875,3.20703125,0.8232910156000001,4.3466796875,1033,0.26,11,81,0.0190722863,{'3': 81},0.588,0.001,0.020853941,2
1034,0.0410253906,0.0121972656,1.57421875,3.20703125,0.8232910156000001,4.3466796875,1034,0.0,17,207,0.049168646100000005,"{'3': 203, '4': 4}",1.0,0.0,0.026284500800000003,2
1035,0.0410253906,0.0524511719,2.50390625,3.20703125,0.8232910156000001,4.3466796875,1035,0.12,18,149,0.034829359500000004,"{'3': 147, '4': 2}",0.835,0.001,0.0252696179,2
1036,0.0410253906,0.0524511719,1.57421875,4.77734375,0.8232910156000001,4.3466796875,1036,0.22,9,135,0.0244255473,{'3': 135},0.513,0.001,0.0160149428,2
1037,0.0410253906,0.0524511719,1.57421875,3.20703125,0.9439941406000001,4.3466796875,1037,0.38,13,59,0.013994307400000001,{'3': 59},0.628,0.0,0.0154689645,2
1038,0.0410253906,0.0524511719,1.57421875,3.20703125,0.8232910156000001,2.3896484375,1038,0.5,11,103,0.0244423351,"{'3': 101, '4': 2}",0.628,0.001,0.0201764428,2
1039,0.0478808594,0.0121972656,2.50390625,4.77734375,0.9439941406000001,2.3896484375,1039,0.52,14,98,0.0179224579,"{'3': 97, '4': 1}",0.839,0.002,0.0229941079,2
104,0.0522753906,0.0862011719,2.07421875,3.70703125,0.8045410156,3.9716796875,104,0.28,10,75,0.0178613956,{'3': 75},0.598,0.0,0.014083903600000001,2
1040,0.0297753906,0.0187011719,3.07421875,4.70703125,0.8420410156,4.7216796875,1040,0.06,15,423,0.0764227642,"{'3': 411, '4': 12}",0.994,0.0,0.0288032587,2
1041,0.014130859400000001,0.0187011719,3.07421875,4.70703125,0.8420410156,4.7216796875,1041,1.0,16,567,0.1021437579,"{'3': 538, '4': 29}",1.0,0.0,0.0350855913,2
1042,0.0297753906,0.09094726560000001,3.07421875,4.70703125,0.8420410156,4.7216796875,1042,0.30000000000000004,6,97,0.0175502081,{'3': 97},0.419,0.0,0.015111297400000001,2
1043,0.0297753906,0.0187011719,3.00390625,4.70703125,0.8420410156,4.7216796875,1043,0.0,16,262,0.0478976234,"{'3': 257, '4': 5}",0.962,0.0,0.0222537304,2
1044,0.0297753906,0.0187011719,3.07421875,2.27734375,0.8420410156,4.7216796875,1044,0.48,19,38,0.0123537061,{'3': 38},0.855,0.001,0.0273716047,2
1045,0.0297753906,0.0187011719,3.07421875,4.70703125,0.8127441406,4.7216796875,1045,0.02,15,454,0.0833027523,"{'3': 435, '4': 19}",0.997,0.0,0.0271778916,2
1046,0.0297753906,0.0187011719,3.07421875,4.70703125,0.8420410156,2.7646484375,1046,0.0,14,558,0.10041389240000001,"{'3': 537, '4': 21}",1.0,0.0,0.0389782668,2
1047,0.014130859400000001,0.09094726560000001,3.00390625,2.27734375,0.8127441406,2.7646484375,1047,0.36,18,37,0.0120521173,{'3': 37},0.654,0.023,0.0240948916,2
1048,0.0747753906,0.0637011719,1.07421875,2.70703125,0.9170410156000001,3.2216796875,1048,0.36,19,16,0.0052202284000000005,{'3': 16},0.507,0.002,0.0179043648,2
1049,0.0591308594,0.0637011719,1.07421875,2.70703125,0.9170410156000001,3.2216796875,1049,0.46,18,30,0.0098231827,{'3': 30},0.431,0.0,0.0123298855,2
