	no_of_neighbors	similarity_treshold	social_influence	swingers	beta_component	Run	Echo_Chambers	Silent_Spiral	opinions	radical_opinions	network_type
0	2.6591796875	0.105712890625	0.523369140625	3.70703125	0.35224609375000004	0	9	0.3	0.55	0.013333333333333334	1
1	4.7216796875	0.105712890625	0.523369140625	3.70703125	0.35224609375000004	1	2	0.23333333333333334	0.6066666666666667	0.06333333333333334	1
2	2.6591796875	0.055439453125	0.523369140625	3.70703125	0.35224609375000004	2	5	0.23333333333333334	0.55	0.03666666666666667	1
3	2.6591796875	0.105712890625	0.900419921875	3.70703125	0.35224609375000004	3	9	0.3333333333333333	0.5266666666666666	0.23	1
4	2.6591796875	0.105712890625	0.523369140625	3.00390625	0.35224609375000004	4	4	0.26666666666666666	0.41	0.04	1
5	2.6591796875	0.105712890625	0.523369140625	3.70703125	0.16240234375	5	5	0.3	0.5	0.04666666666666667	1
6	2.6591796875	0.055439453125	0.900419921875	3.00390625	0.16240234375	6	8	0.26666666666666666	0.4	0.10666666666666667	1
7	4.7216796875	0.105712890625	0.900419921875	3.00390625	0.16240234375	7	3	0.16666666666666666	0.33666666666666667	0.35	1
8	4.7216796875	0.055439453125	0.523369140625	3.00390625	0.16240234375	8	4	0.2	0.4	0.14666666666666667	1
9	4.7216796875	0.055439453125	0.900419921875	3.70703125	0.16240234375	9	13	0.3	0.21666666666666667	0.3333333333333333	1
10	4.7216796875	0.055439453125	0.900419921875	3.00390625	0.35224609375000004	10	8	0.06666666666666667	0.24	0.39666666666666667	1
11	4.7216796875	0.055439453125	0.900419921875	3.00390625	0.16240234375	11	4	0.26666666666666666	0.68	0.38	1
12	4.1591796875	0.600712890625	0.028369140624999997	1.70703125	0.80224609375	12	1	0.26666666666666666	0.49	0.01	1
13	3.2216796875	0.600712890625	0.028369140624999997	1.70703125	0.80224609375	13	2	0.26666666666666666	0.49666666666666665	0.01	1
14	4.1591796875	0.550439453125	0.028369140624999997	1.70703125	0.80224609375	14	1	0.2	0.42333333333333334	0.0	1
